SARAWAK,192,MAS GADING,1,OPAR
SARAWAK,192,MAS GADING,2,TASIK BIRU
SARAWAK,193,SANTUBONG,3,TANJONG DATU
SARAWAK,193,SANTUBONG,4,PANTAI DAMAI
SARAWAK,193,SANTUBONG,5,DEMAK LAUT
SARAWAK,194,PETRA JAYA,6,TUPONG
SARAWAK,194,PETRA JAYA,7,SAMARIANG
SARAWAK,194,PETRA JAYA,8,SATOK
SARAWAK,195,BANDAR KUCHING,9,PADUNGAN
SARAWAK,195,BANDAR KUCHING,10,PENDING
SARAWAK,195,BANDAR KUCHING,11,BATU LINTANG
SARAWAK,196,STAMPIN,12,KOTA SENTOSA
SARAWAK,196,STAMPIN,13,BATU KITANG
SARAWAK,196,STAMPIN,14,BATU KAWAH
SARAWAK,197,KOTA SAMARAHAN,15,ASAJAYA
SARAWAK,197,KOTA SAMARAHAN,16,MUARA TUANG
SARAWAK,197,KOTA SAMARAHAN,17,STAKAN
SARAWAK,198,PUNCAK BORNEO,18,SEREMBU
SARAWAK,198,PUNCAK BORNEO,19,MAMBONG
SARAWAK,198,PUNCAK BORNEO,20,TARAT
SARAWAK,199,SERIAN,21,TEBEDU
SARAWAK,199,SERIAN,22,KEDUP
SARAWAK,199,SERIAN,23,BUKIT SEMUJA
SARAWAK,200,BATANG SADONG,24,SADONG JAYA
SARAWAK,200,BATANG SADONG,25,SIMUNJAN
SARAWAK,200,BATANG SADONG,26,GEDONG
SARAWAK,201,BATANG LUPAR,27,SEBUYAU
SARAWAK,201,BATANG LUPAR,28,LINGGA
SARAWAK,201,BATANG LUPAR,29,BETING MARO
SARAWAK,202,SRI AMAN,30,BALAI RINGIN
SARAWAK,202,SRI AMAN,31,BUKIT BEGUNAN
SARAWAK,202,SRI AMAN,32,SIMANGGANG
SARAWAK,203,LUBOK ANTU,33,ENGKILILI
SARAWAK,203,LUBOK ANTU,34,BATANG AI
SARAWAK,204,BETONG,35,SARIBAS
SARAWAK,204,BETONG,36,LAYAR
SARAWAK,204,BETONG,37,BUKIT SABAN
SARAWAK,205,SARATOK,38,KALAKA
SARAWAK,205,SARATOK,39,KRIAN
SARAWAK,205,SARATOK,40,KABONG
SARAWAK,206,TANJONG MANIS,41,KUALA RAJANG
SARAWAK,206,TANJONG MANIS,42,SEMOP
SARAWAK,207,IGAN,43,DARO
SARAWAK,207,IGAN,44,JEMORENG
SARAWAK,208,SARIKEI,45,REPOK
SARAWAK,208,SARIKEI,46,MERADONG
SARAWAK,209,JULAU,47,PAKAN
SARAWAK,209,JULAU,48,MELUAN
SARAWAK,210,KANOWIT,49,NGEMAH
SARAWAK,210,KANOWIT,50,MACHAN
SARAWAK,211,LANANG,51,BUKIT ASSEK
SARAWAK,211,LANANG,52,DUDONG
SARAWAK,212,SIBU,53,BAWANG ASSAN
SARAWAK,212,SIBU,54,PELAWAN
SARAWAK,212,SIBU,55,NANGKA
SARAWAK,213,MUKAH,56,DALAT
SARAWAK,213,MUKAH,57,TELLIAN
SARAWAK,213,MUKAH,58,BALINGIAN
SARAWAK,214,SELANGAU,59,TAMIN
SARAWAK,214,SELANGAU,60,KAKUS
SARAWAK,215,KAPIT,61,PELAGUS
SARAWAK,215,KAPIT,62,KATIBAS
SARAWAK,215,KAPIT,63,BUKIT GORAM
SARAWAK,216,HULU RAJANG,64,BALEH
SARAWAK,216,HULU RAJANG,65,BELAGA
SARAWAK,216,HULU RAJANG,66,MURUM
SARAWAK,217,BINTULU,67,JEPAK
SARAWAK,217,BINTULU,68,TANJONG BATU
SARAWAK,217,BINTULU,69,KEMENA
SARAWAK,217,BINTULU,70,SAMALAJU
SARAWAK,218,SIBUTI,71,BEKENU
SARAWAK,218,SIBUTI,72,LAMBIR
SARAWAK,219,MIRI,73,PIASAU
SARAWAK,219,MIRI,74,PUJUT
SARAWAK,219,MIRI,75,SENADIN
SARAWAK,220,BARAM,76,MARUDI
SARAWAK,220,BARAM,77,TELANG USAN
SARAWAK,220,BARAM,78,MULU
SARAWAK,221,LIMBANG,79,BUKIT KOTA
SARAWAK,221,LIMBANG,80,BATU DANAU
SARAWAK,222,LAWAS,81,BA'KELALAN
SARAWAK,222,LAWAS,82,BUKIT SARI