state,pcode,pname,ncode,nname
PERLIS,1,PADANG BESAR,1,TITI TINGGI
PERLIS,1,PADANG BESAR,2,BESERI
PERLIS,1,PADANG BESAR,3,CHUPING
PERLIS,1,PADANG BESAR,4,MATA AYER
PERLIS,1,PADANG BESAR,5,SANTAN
PERLIS,2,KANGAR,6,BINTONG
PERLIS,2,KANGAR,7,SENA
PERLIS,2,KANGAR,8,INDERA KAYANGAN
PERLIS,2,KANGAR,9,KUALA PERLIS
PERLIS,2,KANGAR,10,KAYANG
PERLIS,3,ARAU,11,PAUH
PERLIS,3,ARAU,12,TAMBUN TULANG
PERLIS,3,ARAU,13,GUAR SANJI
PERLIS,3,ARAU,14,SIMPANG EMPAT
PERLIS,3,ARAU,15,SANGLANG
KEDAH,4,LANGKAWI,1,AYER HANGAT
KEDAH,4,LANGKAWI,2,KUAH
KEDAH,5,JERLUN,3,KOTA SIPUTEH
KEDAH,5,JERLUN,4,AYER HITAM
KEDAH,6,KUBANG PASU,5,BUKIT KAYU HITAM
KEDAH,6,KUBANG PASU,6,JITRA
KEDAH,7,PADANG TERAP,7,KUALA NERANG
KEDAH,7,PADANG TERAP,8,PEDU
KEDAH,8,POKOK SENA,9,BUKIT LADA
KEDAH,8,POKOK SENA,10,BUKIT PINANG
KEDAH,8,POKOK SENA,11,DERGA
KEDAH,9,ALOR STAR,12,BAKAR BATA
KEDAH,9,ALOR STAR,13,KOTA DARUL AMAN
KEDAH,9,ALOR STAR,14,ALOR MENGKUDU
KEDAH,10,KUALA KEDAH,15,ANAK BUKIT
KEDAH,10,KUALA KEDAH,16,KUBANG ROTAN
KEDAH,10,KUALA KEDAH,17,PENGKALAN KUNDOR
KEDAH,11,PENDANG,18,TOKAI
KEDAH,11,PENDANG,19,SUNGAI TIANG
KEDAH,12,JERAI,20,SUNGAI LIMAU
KEDAH,12,JERAI,21,GUAR CHEMPEDAK
KEDAH,12,JERAI,22,GURUN
KEDAH,13,SIK,23,BELANTEK
KEDAH,13,SIK,24,JENERI
KEDAH,14,MERBOK,25,BUKIT SELAMBAU
KEDAH,14,MERBOK,26,TANJONG DAWAI
KEDAH,15,SUNGAI PETANI,27,PANTAI MERDEKA
KEDAH,15,SUNGAI PETANI,28,BAKAR ARANG
KEDAH,15,SUNGAI PETANI,29,SIDAM
KEDAH,16,BALING,30,BAYU
KEDAH,16,BALING,31,KUPANG
KEDAH,16,BALING,32,KUALA KETIL
KEDAH,17,PADANG SERAI,33,MERBAU PULAS
KEDAH,17,PADANG SERAI,34,LUNAS
KEDAH,18,KULIM-BANDAR BAHARU,35,KULIM
KEDAH,18,KULIM-BANDAR BAHARU,36,BANDAR BAHARU
KELANTAN,19,TUMPAT,1,PENGKALAN KUBOR
KELANTAN,19,TUMPAT,2,KELABORAN
KELANTAN,19,TUMPAT,3,PASIR PEKAN
KELANTAN,19,TUMPAT,4,WAKAF BHARU
KELANTAN,20,PENGKALAN CHEPA,5,KIJANG
KELANTAN,20,PENGKALAN CHEPA,6,CHEMPAKA
KELANTAN,20,PENGKALAN CHEPA,7,PANCHOR
KELANTAN,21,KOTA BHARU,8,TANJONG MAS
KELANTAN,21,KOTA BHARU,9,KOTA LAMA
KELANTAN,21,KOTA BHARU,10,BUNUT PAYONG
KELANTAN,22,PASIR MAS,11,TENDONG
KELANTAN,22,PASIR MAS,12,PENGKALAN PASIR
KELANTAN,22,PASIR MAS,13,CHETOK
KELANTAN,23,RANTAU PANJANG,14,MERANTI
KELANTAN,23,RANTAU PANJANG,15,GUAL PERIOK
KELANTAN,23,RANTAU PANJANG,16,BUKIT TUKU
KELANTAN,24,KUBANG KERIAN,17,SALOR
KELANTAN,24,KUBANG KERIAN,18,PASIR TUMBOH
KELANTAN,24,KUBANG KERIAN,19,DEMIT
KELANTAN,25,BACHOK,20,TAWANG
KELANTAN,25,BACHOK,21,PERUPOK
KELANTAN,25,BACHOK,22,JELAWAT
KELANTAN,26,KETEREH,23,MELOR
KELANTAN,26,KETEREH,24,KADOK
KELANTAN,26,KETEREH,25,KOK LANAS
KELANTAN,27,TANAH MERAH,26,BUKIT PANAU
KELANTAN,27,TANAH MERAH,27,GUAL IPOH
KELANTAN,27,TANAH MERAH,28,KEMAHANG
KELANTAN,28,PASIR PUTEH,29,SELISING
KELANTAN,28,PASIR PUTEH,30,LIMBONGAN
KELANTAN,28,PASIR PUTEH,31,SEMERAK
KELANTAN,28,PASIR PUTEH,32,GAAL
KELANTAN,29,MACHANG,33,PULAI CHONDONG
KELANTAN,29,MACHANG,34,TEMANGAN
KELANTAN,29,MACHANG,35,KEMUNING
KELANTAN,30,JELI,36,BUKIT BUNGA
KELANTAN,30,JELI,37,AIR LANAS
KELANTAN,30,JELI,38,KUALA BALAH
KELANTAN,31,KUALA KRAI,39,MENGKEBANG
KELANTAN,31,KUALA KRAI,40,GUCHIL
KELANTAN,31,KUALA KRAI,41,MANEK URAI
KELANTAN,31,KUALA KRAI,42,DABONG
KELANTAN,32,GUA MUSANG,43,NENGGIRI
KELANTAN,32,GUA MUSANG,44,PALOH
KELANTAN,32,GUA MUSANG,45,GALAS
TERENGGANU,33,BESUT,1,KUALA BESUT
TERENGGANU,33,BESUT,2,KOTA PUTERA
TERENGGANU,33,BESUT,3,JERTIH
TERENGGANU,33,BESUT,4,HULU BESUT
TERENGGANU,34,SETIU,5,JABI
TERENGGANU,34,SETIU,6,PERMAISURI
TERENGGANU,34,SETIU,7,LANGKAP
TERENGGANU,34,SETIU,8,BATU RAKIT
TERENGGANU,35,KUALA NERUS,9,TEPUH
TERENGGANU,35,KUALA NERUS,10,TELUK PASU
TERENGGANU,35,KUALA NERUS,11,SEBERANG TAKIR
TERENGGANU,35,KUALA NERUS,12,BUKIT TUNGGAL
TERENGGANU,36,KUALATERENGGANU,13,WAKAF MEMPELAM
TERENGGANU,36,KUALATERENGGANU,14,BANDAR
TERENGGANU,36,KUALATERENGGANU,15,LADANG
TERENGGANU,36,KUALATERENGGANU,16,BATU BURUK
TERENGGANU,37,MARANG,17,ALUR LIMBAT
TERENGGANU,37,MARANG,18,BUKIT PAYUNG
TERENGGANU,37,MARANG,19,RU RENDANG
TERENGGANU,37,MARANG,20,PENGKALAN BERANGAN
TERENGGANU,38,HULU TERENGGANU,21,TELEMUNG
TERENGGANU,38,HULU TERENGGANU,22,MANIR
TERENGGANU,38,HULU TERENGGANU,23,KUALA BERANG
TERENGGANU,38,HULU TERENGGANU,24,AJIL
TERENGGANU,39,DUNGUN,25,BUKIT BESI
TERENGGANU,39,DUNGUN,26,RANTAU ABANG
TERENGGANU,39,DUNGUN,27,SURA
TERENGGANU,39,DUNGUN,28,PAKA
TERENGGANU,40,KEMAMAN,29,KEMASIK
TERENGGANU,40,KEMAMAN,30,KIJAL
TERENGGANU,40,KEMAMAN,31,CUKAI
TERENGGANU,40,KEMAMAN,32,AIR PUTIH
PULAU PINANG,41,KEPALA BATAS,1,PENAGA
PULAU PINANG,41,KEPALA BATAS,2,BERTAM
PULAU PINANG,41,KEPALA BATAS,3,PINANG TUNGGAL
PULAU PINANG,42,TASEK GELUGOR,4,PERMATANG BERANGAN
PULAU PINANG,42,TASEK GELUGOR,5,SUNGAI DUA
PULAU PINANG,42,TASEK GELUGOR,6,TELOK AYER TAWAR
PULAU PINANG,43,BAGAN,7,SUNGAI PUYU
PULAU PINANG,43,BAGAN,8,BAGAN JERMAL
PULAU PINANG,43,BAGAN,9,BAGAN DALAM
PULAU PINANG,44,PERMATANG PAUH,10,SEBERANG JAYA
PULAU PINANG,44,PERMATANG PAUH,11,PERMATANG PASIR
PULAU PINANG,44,PERMATANG PAUH,12,PENANTI
PULAU PINANG,45,BUKIT MERTAJAM,13,BERAPIT
PULAU PINANG,45,BUKIT MERTAJAM,14,MACHANG BUBUK
PULAU PINANG,45,BUKIT MERTAJAM,15,PADANG LALANG
PULAU PINANG,46,BATU KAWAN,16,PERAI
PULAU PINANG,46,BATU KAWAN,17,BUKIT TENGAH
PULAU PINANG,46,BATU KAWAN,18,BUKIT TAMBUN
PULAU PINANG,47,NIBONG TEBAL,19,JAWI
PULAU PINANG,47,NIBONG TEBAL,20,SUNGAI BAKAP
PULAU PINANG,47,NIBONG TEBAL,21,SUNGAI ACHEH
PULAU PINANG,48,BUKIT BENDERA,22,TANJONG BUNGA
PULAU PINANG,48,BUKIT BENDERA,23,AIR PUTEH
PULAU PINANG,48,BUKIT BENDERA,24,KEBUN BUNGA
PULAU PINANG,48,BUKIT BENDERA,25,PULAU TIKUS
PULAU PINANG,49,TANJONG,26,PADANG KOTA
PULAU PINANG,49,TANJONG,27,PENGKALAN KOTA
PULAU PINANG,49,TANJONG,28,KOMTAR
PULAU PINANG,50,JELUTONG,29,DATOK KERAMAT
PULAU PINANG,50,JELUTONG,30,SUNGAI PINANG
PULAU PINANG,50,JELUTONG,31,BATU LANCANG
PULAU PINANG,51,BUKIT GELUGOR,32,SERI DELIMA
PULAU PINANG,51,BUKIT GELUGOR,33,AIR ITAM
PULAU PINANG,51,BUKIT GELUGOR,34,PAYA TERUBONG
PULAU PINANG,52,BAYAN BARU,35,BATU UBAN
PULAU PINANG,52,BAYAN BARU,36,PANTAI JEREJAK
PULAU PINANG,52,BAYAN BARU,37,BATU MAUNG
PULAU PINANG,53,BALIK PULAU,38,BAYAN LEPAS
PULAU PINANG,53,BALIK PULAU,39,PULAU BETONG
PULAU PINANG,53,BALIK PULAU,40,TELOK BAHANG
PERAK,54,GERIK,1,PENGKALAN HULU
PERAK,54,GERIK,2,TEMENGOR
PERAK,55,LENGGONG,3,KENERING
PERAK,55,LENGGONG,4,KOTA TAMPAN
PERAK,56,LARUT,5,SELAMA
PERAK,56,LARUT,6,KUBU GAJAH
PERAK,56,LARUT,7,BATU KURAU
PERAK,57,PARIT BUNTAR,8,TITI SERONG
PERAK,57,PARIT BUNTAR,9,KUALA KURAU
PERAK,58,BAGAN SERAI,10,ALOR PONGSU
PERAK,58,BAGAN SERAI,11,GUNONG SEMANGGOL
PERAK,58,BAGAN SERAI,12,SELINSING
PERAK,59,BUKIT GANTANG,13,KUALA SAPETANG
PERAK,59,BUKIT GANTANG,14,CHANGKAT JERING
PERAK,59,BUKIT GANTANG,15,TRONG
PERAK,60,TAIPING,16,KAMUNTING
PERAK,60,TAIPING,17,POKOK ASSAM
PERAK,60,TAIPING,18,AULONG
PERAK,61,PADANG RENGAS,19,CHENDEROH
PERAK,61,PADANG RENGAS,20,LUBOK MERBAU
PERAK,62,SUNGAI SIPUT,21,LINTANG
PERAK,62,SUNGAI SIPUT,22,JALONG
PERAK,63,TAMBUN,23,MANJOI
PERAK,63,TAMBUN,24,HULU KINTA
PERAK,64,IPOH TIMOR,25,CANNING
PERAK,64,IPOH TIMOR,26,TEBING TINGGI
PERAK,64,IPOH TIMOR,27,PASIR PINJI
PERAK,65,IPOH BARAT,28,BERCHAM
PERAK,65,IPOH BARAT,29,KEPAYANG
PERAK,65,IPOH BARAT,30,BUNTONG
PERAK,66,BATU GAJAH,31,JELAPANG
PERAK,66,BATU GAJAH,32,MENGLEMBU
PERAK,66,BATU GAJAH,33,TRONOH
PERAK,67,KUALA KANGSAR,34,BUKIT CHANDAN
PERAK,67,KUALA KANGSAR,35,MANONG
PERAK,68,BERUAS,36,PENGKALAN BAHARU
PERAK,68,BERUAS,37,PANTAI REMIS
PERAK,69,PARIT,38,BELANJA
PERAK,69,PARIT,39,BOTA
PERAK,70,KAMPAR,40,MALIM NAWAR
PERAK,70,KAMPAR,41,KERANJI
PERAK,70,KAMPAR,42,TUALANG SEKAH
PERAK,71,GOPENG,43,SUNGAI RAPAT
PERAK,71,GOPENG,44,SIMPANG PULAI
PERAK,71,GOPENG,45,TEJA
PERAK,72,TAPAH,46,CHENDERIANG
PERAK,72,TAPAH,47,AYER KUNING
PERAK,73,PASIR SALAK,48,SUNGAI MANIK
PERAK,73,PASIR SALAK,49,KAMPONG GAJAH
PERAK,74,LUMUT,50,SITIAWAN
PERAK,74,LUMUT,51,PASIR PANJANG
PERAK,74,LUMUT,52,PANGKOR
PERAK,75,BAGAN DATOK,53,RUNGKUP
PERAK,75,BAGAN DATOK,54,HUTAN MELINTANG
PERAK,76,TELOK INTAN,55,PASIR BEDAMAR
PERAK,76,TELOK INTAN,56,CHANGKAT JONG
PERAK,77,TANJONG MALIM,57,SUNGKAI
PERAK,77,TANJONG MALIM,58,SLIM
PERAK,77,TANJONG MALIM,59,BEHRANG
PAHANG,78,CAMERON HIGHLANDS,1,TANAH RATA
PAHANG,78,CAMERON HIGHLANDS,2,JELAI
PAHANG,79,LIPIS,3,PADANG TENGKU
PAHANG,79,LIPIS,4,CEKA
PAHANG,79,LIPIS,5,BENTA
PAHANG,80,RAUB,6,BATU TALAM
PAHANG,80,RAUB,7,TERAS
PAHANG,80,RAUB,8,DONG
PAHANG,81,JERANTUT,9,TAHAN
PAHANG,81,JERANTUT,10,DAMAK
PAHANG,81,JERANTUT,11,PULAU TAWAR
PAHANG,82,INDERA MAHKOTA,12,BESERAH
PAHANG,82,INDERA MAHKOTA,13,SEMAMBU
PAHANG,83,KUANTAN,14,TERUNTUM
PAHANG,83,KUANTAN,15,TANJUNG LUMPUR
PAHANG,83,KUANTAN,16,INDERAPURA
PAHANG,84,PAYA BESAR,17,SUNGAI LEMBING
PAHANG,84,PAYA BESAR,18,LEPAR
PAHANG,84,PAYA BESAR,19,PANCHING
PAHANG,85,PEKAN,20,PULAU MANIS
PAHANG,85,PEKAN,21,PERAMU JAYA
PAHANG,85,PEKAN,22,BEBAR
PAHANG,85,PEKAN,23,CHINI
PAHANG,86,MARAN,24,LUIT
PAHANG,86,MARAN,25,KUALA SENTUL
PAHANG,86,MARAN,26,CHENOR
PAHANG,87,KUALA KRAU,27,JENDERAK
PAHANG,87,KUALA KRAU,28,KERDAU
PAHANG,87,KUALA KRAU,29,JENGKA
PAHANG,88,TEMERLOH,30,MENTAKAB
PAHANG,88,TEMERLOH,31,LANCHANG
PAHANG,88,TEMERLOH,32,KUALA SEMANTAN
PAHANG,89,BENTONG,33,BILUT
PAHANG,89,BENTONG,34,KETARI
PAHANG,89,BENTONG,35,SABAI
PAHANG,89,BENTONG,36,PELANGAI
PAHANG,90,BERA,37,GUAI
PAHANG,90,BERA,38,TRIANG
PAHANG,90,BERA,39,KEMAYAN
PAHANG,91,ROMPIN,40,BUKIT IBAM
PAHANG,91,ROMPIN,41,MUADZAM SHAH
PAHANG,91,ROMPIN,42,TIOMAN
SELANGOR,92,SABAK BERNAM,1,SUNGAI AIR TAWAR
SELANGOR,92,SABAK BERNAM,2,SABAK
SELANGOR,93,SUNGAI BESAR,3,SUNGAI PANJANG
SELANGOR,93,SUNGAI BESAR,4,SEKINCHAN
SELANGOR,94,HULU SELANGOR,5,HULU BERNAM
SELANGOR,94,HULU SELANGOR,6,KUALA KUBU BAHARU
SELANGOR,94,HULU SELANGOR,7,BATANG KALI
SELANGOR,95,TANJONG KARANG,8,SUNGAI BURONG
SELANGOR,95,TANJONG KARANG,9,PERMATANG
SELANGOR,96,KUALA SELANGOR,10,BUKIT MELAWATI
SELANGOR,96,KUALA SELANGOR,11,IJOK
SELANGOR,96,KUALA SELANGOR,12,JERAM
SELANGOR,97,SELAYANG,13,KUANG
SELANGOR,97,SELAYANG,14,RAWANG
SELANGOR,97,SELAYANG,15,TAMAN TEMPLER
SELANGOR,98,GOMBAK,16,BATU CAVES
SELANGOR,98,GOMBAK,17,GOMBAK SETIA
SELANGOR,98,GOMBAK,18,HULU KELANG
SELANGOR,99,AMPANG,19,BUKIT ANTARABANGSA
SELANGOR,99,AMPANG,20,LEMBAH JAYA
SELANGOR,100,PANDAN,21,CHEMPAKA
SELANGOR,100,PANDAN,22,TERATAI
SELANGOR,101,HULU LANGAT,23,DUSUN TUA
SELANGOR,101,HULU LANGAT,24,SEMENYIH
SELANGOR,101,HULU LANGAT,25,KAJANG
SELANGOR,102,SERDANG,26,BANGI
SELANGOR,102,SERDANG,27,BALAKONG
SELANGOR,102,SERDANG,28,SERI KEMBANGAN
SELANGOR,103,PUCHONG,29,SERI SERDANG
SELANGOR,103,PUCHONG,30,KINRARA
SELANGOR,104,KELANA JAYA,31,SUBANG JAYA
SELANGOR,104,KELANA JAYA,32,SERI SETIA
