session,date
14-01-01-01,2018-07-16
14-01-01-02,2018-07-17
14-01-01-03,2018-07-18
14-01-01-04,2018-07-19
14-01-01-05,2018-07-23
14-01-01-06,2018-07-24
14-01-01-07,2018-07-25
14-01-01-08,2018-07-26
14-01-01-09,2018-07-30
14-01-01-10,2018-07-31
14-01-01-11,2018-08-01
14-01-01-12,2018-08-02
14-01-01-13,2018-08-06
14-01-01-14,2018-08-07
14-01-01-15,2018-08-08
14-01-01-16,2018-08-09
14-01-01-17,2018-08-13
14-01-01-18,2018-08-14
14-01-01-19,2018-08-15
14-01-01-20,2018-08-16
14-01-02-01,2018-10-15
14-01-02-02,2018-10-16
14-01-02-03,2018-10-17
14-01-02-04,2018-10-18
14-01-02-05,2018-10-22
14-01-02-06,2018-10-23
14-01-02-07,2018-10-24
14-01-02-08,2018-10-25
14-01-02-09,2018-10-29
14-01-02-10,2018-10-30
14-01-02-11,2018-10-31
14-01-02-12,2018-11-01
14-01-02-13,2018-11-02
14-01-02-14,2018-11-12
14-01-02-15,2018-11-13
14-01-02-16,2018-11-14
14-01-02-17,2018-11-15
14-01-02-18,2018-11-19
14-01-02-19,2018-11-21
14-01-02-20,2018-11-22
14-01-02-21,2018-11-26
14-01-02-22,2018-11-27
14-01-02-23,2018-11-28
14-01-02-24,2018-11-29
14-01-02-25,2018-12-03
14-01-02-26,2018-12-04
14-01-02-27,2018-12-05
14-01-02-28,2018-12-06
14-01-02-29,2018-12-10
14-01-02-30,2018-12-11
14-02-01-01,2019-03-11
14-02-01-02,2019-03-12
14-02-01-03,2019-03-13
14-02-01-04,2019-03-14
14-02-01-05,2019-03-18
14-02-01-06,2019-03-19
14-02-01-07,2019-03-20
14-02-01-08,2019-03-21
14-02-01-09,2019-03-25
14-02-01-10,2019-03-26
14-02-01-11,2019-03-27
14-02-01-12,2019-03-28
14-02-01-13,2019-04-01
14-02-01-14,2019-04-02
14-02-01-15,2019-04-03
14-02-01-16,2019-04-04
14-02-01-17,2019-04-08
14-02-01-18,2019-04-09
14-02-01-19,2019-04-10
14-02-01-20,2019-04-11
14-02-02-01,2019-07-01
14-02-02-02,2019-07-02
14-02-02-03,2019-07-03
14-02-02-04,2019-07-04
14-02-02-05,2019-07-08
14-02-02-06,2019-07-09
14-02-02-07,2019-07-10
14-02-02-08,2019-07-11
14-02-02-09,2019-07-15
14-02-02-10,2019-07-16
14-02-02-11,2019-07-17
14-02-02-12,2019-07-18
14-02-03-01,2019-10-07
14-02-03-02,2019-10-08
14-02-03-03,2019-10-09
14-02-03-04,2019-10-10
14-02-03-05,2019-10-11
14-02-03-06,2019-10-14
14-02-03-07,2019-10-15
14-02-03-08,2019-10-16
14-02-03-09,2019-10-17
14-02-03-10,2019-10-21
14-02-03-11,2019-10-22
14-02-03-12,2019-10-23
14-02-03-13,2019-10-24
14-02-03-14,2019-10-29
14-02-03-15,2019-10-30
14-02-03-16,2019-10-31
14-02-03-17,2019-11-04
14-02-03-18,2019-11-05
14-02-03-19,2019-11-06
14-02-03-20,2019-11-07
14-02-03-21,2019-11-11
14-02-03-22,2019-11-12
14-02-03-23,2019-11-13
14-02-03-24,2019-11-14
14-02-03-25,2019-11-18
14-02-03-26,2019-11-19
14-02-03-27,2019-11-20
14-02-03-28,2019-11-21
14-02-03-29,2019-11-25
14-02-03-30,2019-11-26
14-02-03-31,2019-11-27
14-02-03-32,2019-11-28
14-02-03-33,2019-12-02
14-02-03-34,2019-12-03
14-02-03-35,2019-12-04
14-02-03-36,2019-12-05
14-03-01-01,2020-05-18
14-03-02-01,2020-07-13
14-03-02-02,2020-07-14
14-03-02-03,2020-07-15
14-03-02-04,2020-07-16
14-03-02-05,2020-07-20
14-03-02-06,2020-07-21
14-03-02-07,2020-07-22
14-03-02-08,2020-07-23
14-03-02-09,2020-07-27
14-03-02-10,2020-07-28
14-03-02-11,2020-07-29
14-03-02-12,2020-08-03
14-03-02-13,2020-08-04
14-03-02-14,2020-08-05
14-03-02-15,2020-08-06
14-03-02-16,2020-08-10
14-03-02-17,2020-08-11
14-03-02-18,2020-08-12
14-03-02-19,2020-08-13
14-03-02-20,2020-08-17
14-03-02-21,2020-08-18
14-03-02-22,2020-08-24
14-03-02-23,2020-08-25
14-03-02-24,2020-08-26
14-03-02-25,2020-08-27
14-03-03-01,2020-11-02
14-03-03-02,2020-11-03
14-03-03-03,2020-11-04
14-03-03-04,2020-11-05
14-03-03-05,2020-11-06
14-03-03-06,2020-11-09
14-03-03-07,2020-11-10
14-03-03-08,2020-11-11
14-03-03-09,2020-11-12
14-03-03-10,2020-11-16
14-03-03-11,2020-11-17
14-03-03-12,2020-11-18
14-03-03-13,2020-11-19
14-03-03-14,2020-11-23
14-03-03-15,2020-11-24
14-03-03-16,2020-11-25
14-03-03-17,2020-11-26
14-03-03-18,2020-11-30
14-03-03-19,2020-12-01
14-03-03-20,2020-12-02
14-03-03-21,2020-12-03
14-03-03-22,2020-12-07
14-03-03-23,2020-12-08
14-03-03-24,2020-12-09
14-03-03-25,2020-12-10
14-03-03-26,2020-12-14
14-03-03-27,2020-12-15
14-03-03-28,2020-12-16
14-03-03-29,2020-12-17
14-03-k01-01,2021-07-26
14-03-k01-02,2021-07-27
14-03-k01-03,2021-07-28
14-03-k01-04,2021-07-29
14-04-01-01,2021-09-13
14-04-01-02,2021-09-14
14-04-01-03,2021-09-15
14-04-01-04,2021-09-20
14-04-01-05,2021-09-21
14-04-01-06,2021-09-22
14-04-01-07,2021-09-23
14-04-01-08,2021-09-27
14-04-01-09,2021-09-28
14-04-01-10,2021-09-29
14-04-01-11,2021-09-30
14-04-01-12,2021-10-04
14-04-01-13,2021-10-05
14-04-01-14,2021-10-06
14-04-01-15,2021-10-07
14-04-01-16,2021-10-11
14-04-01-17,2021-10-12
14-04-02-01,2021-10-25
14-04-02-02,2021-10-26
14-04-02-03,2021-10-27
14-04-02-04,2021-10-28
14-04-02-05,2021-10-29
14-04-02-06,2021-11-01
14-04-02-07,2021-11-02
14-04-02-08,2021-11-03
14-04-02-09,2021-11-08
14-04-02-10,2021-11-09
14-04-02-11,2021-11-10
14-04-02-12,2021-11-11
14-04-02-13,2021-11-15
14-04-02-14,2021-11-16
14-04-02-15,2021-11-17
14-04-02-16,2021-11-18
14-04-02-17,2021-11-22
14-04-02-18,2021-11-23
14-04-02-19,2021-11-24
14-04-02-20,2021-11-25
14-04-02-21,2021-11-29
14-04-02-22,2021-11-30
14-04-02-23,2021-12-01
14-04-02-24,2021-12-02
14-04-02-25,2021-12-06
14-04-02-26,2021-12-07
14-04-02-27,2021-12-08
14-04-02-28,2021-12-09
14-04-02-29,2021-12-13
14-04-02-30,2021-12-14
14-04-02-31,2021-12-15
14-04-02-32,2021-12-16
14-04-02-33,2021-12-20
14-04-k01-01,2022-01-20
14-05-01-01,2022-02-28
14-05-01-02,2022-03-01
14-05-01-03,2022-03-02
14-05-01-04,2022-03-03
14-05-01-05,2022-03-07
14-05-01-06,2022-03-08
14-05-01-07,2022-03-09
14-05-01-08,2022-03-10
14-05-01-09,2022-03-14
14-05-01-10,2022-03-15
14-05-01-11,2022-03-16
14-05-01-12,2022-03-17
14-05-01-13,2022-03-21
14-05-01-14,2022-03-22
14-05-01-15,2022-03-23
14-05-01-16,2022-03-24
14-05-k01-17,2022-04-11
14-05-02-01,2022-07-18
14-05-02-02,2022-07-19
14-05-02-03,2022-07-20
14-05-02-04,2022-07-21
14-05-02-05,2022-07-25
14-05-02-06,2022-07-26
14-05-02-07,2022-07-27
14-05-02-08,2022-07-28
14-05-02-09,2022-08-01
14-05-02-10,2022-08-02
14-05-02-11,2022-08-03
14-05-02-12,2022-08-04